id,name,entry_name,alter_name,chinese_name,brand,age,nation,type,price,unlock,rank,score,transmission,dlc,speed,handling,acceleration,launch,braking,offroad,new_img_id,img_small_url,img_large_url,playlist,playlist_info
car_009,Intensa Emozione,Apollo Intensa Emozione 2018,Apollo IE '18,,Apollo,2018,德国,极限赛道玩具,"1,500,000",车展，抽奖,S2,963,RWD (后轮驱动),,7.4,9.2,7.7,8.4,10,4.7,3141,https://cdn.max-c.com/wiki/1551360/Thumbnail_3141_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_3141_Big.png?v=1,4,S1 夏季 - 马拉松商店600FP；<br>S14 夏季 - 马拉松商店600FP；<br>S19 夏季 - 马拉松商店550FP；<br>S33 冬季 - 马拉松商店500FP
car_010,Intensa Emozione 'Welcome Pack',Apollo Intensa Emozione 'Welcome Pack' 2018,Apollo IE WP,,Apollo,2018,德国,极限赛道玩具,"1,500,000",车展,S2,998,RWD (后轮驱动),1,7.6,9.2,7.9,8.6,10,4.5,3682,https://cdn.max-c.com/wiki/1551360/Thumbnail_3682_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_3682_Big.png?v=1,,
car_011,Atom 500 V8,Ariel Atom 500 V8 2013,Ariel Atom,,Ariel,2013,英国,极限赛道玩具,"200,000",车展，抽奖,S2,924,RWD (后轮驱动),,6.3,8,7.8,8.5,7.2,4.6,1651,https://cdn.max-c.com/wiki/1551360/Thumbnail_1651_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1651_Big.png?v=1,3,S3 秋季 - 季节锦标赛；<br>S14 秋季 - 季节锦标赛；<br>S32 春季 - 终极考验
car_012,Nomad,Ariel Nomad 2016,Ariel Nomad,,Ariel,2016,英国,无限制沙滩车,"93,000",车展，抽奖,A,711,RWD (后轮驱动),,5.2,4.5,6.5,7.2,4.2,8.3,2430,https://cdn.max-c.com/wiki/1551360/Thumbnail_2430_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2430_Big.png?v=1,4,S3 冬季 - 季节锦标赛；<br>S19 冬季 - 游乐场赛事；<br>S26 冬季 - 终极考验；<br>S36 冬季 - 季节锦标赛（拉力赛）
car_013,DB5,阿斯顿马丁 DB5 1964,AM DB5,,阿斯顿马丁,1964,英国,稀有经典赛车,"800,000",车展，抽奖,C,548,RWD (后轮驱动),,5.4,3.7,4,3.4,2.7,5.6,1105,https://cdn.max-c.com/wiki/1551360/Thumbnail_1105_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1105_Big.png?v=1,5,S2 冬季 - 马拉松商店100FP；<br>S11 冬季 - 马拉松商店50FP；<br>S15 冬季 - 马拉松商店400FP；<br>S21 秋季 - 马拉松商店450FP；<br>S38 冬季 - 马拉松商店375FP
car_014,V12 Vantage S,阿斯顿马丁 V12 Vantage S 2013,Vantage S '13,,阿斯顿马丁,2013,英国,超级GT赛车,"240,000",车展，抽奖,A,796,RWD (后轮驱动),,7.8,5.5,5.4,5.7,6.4,4.9,2181,https://cdn.max-c.com/wiki/1551360/Thumbnail_2181_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2181_Big.png?v=1,4,S9 秋季 - 季节锦标赛；<br>S19 秋季 - 终极考验；<br>S26 冬季 - 马拉松商店250FP；<br>S37 冬季 - 马拉松商店200FP
car_015,Vantage GT12,阿斯顿马丁 Vantage GT12 2016,AM Vantage '16,,阿斯顿马丁,2016,英国,赛道玩具,"400,000",赞赏：等级跃进（达到玩家等级100）,S1,829,RWD (后轮驱动),,6.7,7.3,5.9,6.1,8.1,4.9,2493,https://cdn.max-c.com/wiki/1551360/Thumbnail_2493_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2493_Big.png?v=1,,
car_016,DB11,阿斯顿马丁 DB11 2017,AM DB11,,阿斯顿马丁,2017,英国,超级GT赛车,"300,000",车展，抽奖,A,787,RWD (后轮驱动),,7.3,5.8,5.7,6.1,6.1,5.3,2527,https://cdn.max-c.com/wiki/1551360/Thumbnail_2527_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2527_Big.png?v=1,3,S12 夏季 - 终极考验；<br>S20 冬季 - 马拉松商店300FP；<br>S35 夏季 - 马拉松商店200FP
car_017,Vulcan AMR Pro,阿斯顿马丁 Vulcan AMR Pro 2017,AM Vulcan AMR,,阿斯顿马丁,2017,英国,极限赛道玩具,"2,000,000",车展，抽奖，<br>赞赏：谦虚自夸（达到玩家等级125）,S2,953,RWD (后轮驱动),,7.7,8.8,6.5,7,10,3.8,3211,https://cdn.max-c.com/wiki/1551360/Thumbnail_3211_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_3211_Big.png?v=1,2,S22 夏季 - 马拉松商店700FP；<br>S32 冬季 - 马拉松商店700FP
car_018,Vantage,阿斯顿马丁 Vantage 2019,AM Vantage '19,,阿斯顿马丁,2019,英国,GT赛车,"430,000",车展，抽奖,S1,801,RWD (后轮驱动),,7,6.1,6,6.4,6.1,5,3091,https://cdn.max-c.com/wiki/1551360/Thumbnail_3091_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_3091_Big.png?v=1,4,S2 春季 - 季节锦标赛；<br>S14 冬季 - 马拉松商店300FP；<br>S19 冬季 - 马拉松商店300FP；<br>S32 夏季 - 马拉松商店225FP
car_019,DBS Superleggera,阿斯顿马丁 DBS Superleggera 2019,AM DBS SL '19,,阿斯顿马丁,2019,英国,超级GT赛车,"350,000",车展，抽奖,S1,835,RWD (后轮驱动),,7.8,5.9,5.8,6.2,6.9,5,3185,https://cdn.max-c.com/wiki/1551360/Thumbnail_3185_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_3185_Big.png?v=1,4,S1 夏季 - 46分进度奖励；<br>S13 春季 - 季节锦标赛；<br>S25 夏季 - 季节锦标赛（风火轮）；<br>S37 夏季 - 马拉松商店250FP
car_020,Valhalla Concept Car,阿斯顿马丁 Valhalla Concept Car 2019,Valhalla Concept,,阿斯顿马丁,2019,英国,顶级超跑,"1,150,000",车展，抽奖,S2,959,AWD (全轮驱动),,8.5,8.5,10,10,9.4,5.2,3364,https://cdn.max-c.com/wiki/1551360/Thumbnail_3364_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_3364_Big.png?v=1,3,S3 春季 - 马拉松商店600FP；<br>S11 春季 - 马拉松商店300FP；<br>S28 第2周 - 马拉松商店600FP
car_021,Sport quattro,奥迪 Sport quattro 1983,Audi quattro,,奥迪,1983,德国,复古拉力赛车,"175,000",车展，抽奖，<br>赞赏：土逆拉力赛（在智能车手难度设置为所向披靡的情况下赢得1场泥地赛）,B,638,AWD (全轮驱动),,5.7,4.7,5.5,2.9,4,6,633,https://cdn.max-c.com/wiki/1551360/Thumbnail_633_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_633_Big.png?v=1,4,S8 春季 - 季节锦标赛；<br>S13 秋季 - 游乐场赛事；<br>S18 冬季 - 终极考验；<br>S34 春季 - Eventlab
car_022,Avant RS2,奥迪 Avant RS2 1995,Audi RS2 '95,,奥迪,1995,德国,复古轿车,"50,000",车展，抽奖,B,601,AWD (全轮驱动),,6,4.6,5,5.3,3.2,5.6,1370,https://cdn.max-c.com/wiki/1551360/Thumbnail_1370_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1370_Big.png?v=1,3,S19 秋季 - 季节锦标赛（风火轮）；<br>S29 春季 - 终极考验；<br>S39 夏季 - 季节锦标赛（拉力赛）
car_023,RS 4 Avant,奥迪 RS 4 Avant 2001,Audi RS 4 '01,,奥迪,2001,德国,复古轿车,"94,000",车展，抽奖,B,663,AWD (全轮驱动),,6.4,5.3,5.5,4.7,3.6,5.7,2178,https://cdn.max-c.com/wiki/1551360/Thumbnail_2178_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2178_Big.png?v=1,2,S12 春季 - Super7；<br>S28 第1周 - 季节锦标赛（拉力赛）
car_024,RS 6,奥迪 RS 6 2003,Audi RS 6 '03,,奥迪,2003,德国,复古轿车,"105,000",车展，抽奖,B,677,AWD (全轮驱动),,6.8,5.2,5.1,5,4.1,5.8,420,https://cdn.max-c.com/wiki/1551360/Thumbnail_420_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_420_Big.png?v=1,3,S2 冬季 - 马拉松商店100FP；<br>S14 春季 - 游乐场赛事；<br>S31 夏季 - 终极考验
car_025,RS 4,奥迪 RS 4 2006,Audi RS 4 '06,,奥迪,2006,德国,超级轿车,"53,000",车展，抽奖,A,710,AWD (全轮驱动),,6.9,5.5,6,5.5,4.4,5.7,419,https://cdn.max-c.com/wiki/1551360/Thumbnail_419_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_419_Big.png?v=1,3,S11 冬季 - 季节锦标赛（风火轮）；<br>S31 秋季 - 季节锦标赛（风火轮）;<br>S37 冬季 - Eventlab
car_026,RS 6,奥迪 RS 6 2009,Audi RS 6 '09,,奥迪,2009,德国,超级轿车,"155,000",车展，抽奖,A,722,AWD (全轮驱动),,7.5,5.5,6.1,6.7,5.8,5.8,1184,https://cdn.max-c.com/wiki/1551360/Thumbnail_1184_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1184_Big.png?v=1,3,S8 秋季 - Eventlab；<br>S20 冬季 - 游乐场赛事；<br>S37 秋季 - 马拉松商店125FP
car_027,TT RS Coupé,奥迪 TT RS Coupé 2010,Audi TT RS,,奥迪,2010,德国,现代跑车,"66,000",车展，抽奖,A,707,AWD (全轮驱动),,6.6,5.6,5.8,7,4.4,5.8,1220,https://cdn.max-c.com/wiki/1551360/Thumbnail_1220_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1220_Big.png?v=1,4,S12 冬季 - 季节锦标赛；<br>S25 春季 - 季节锦标赛（拉力赛）；<br>S36 冬季 - 季节锦标赛（风火轮）;<br>S37 冬季 - 季节锦标赛
car_028,RS 3 Sportback,奥迪 RS 3 Sportback 2011,Audi RS 3,,奥迪,2011,德国,超高性能掀背车,"42,000",车展，抽奖,B,682,AWD (全轮驱动),,6,5.6,5.2,6.5,4.1,5.8,1216,https://cdn.max-c.com/wiki/1551360/Thumbnail_1216_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1216_Big.png?v=1,2,S19 夏季 - 季节锦标赛；<br>S29 夏季 - 季节锦标赛（风火轮）
car_029,RS 5 Coupé,奥迪 RS 5 Coupé 2011,Audi RS 5,,奥迪,2011,德国,超级轿车,"88,000",车展，抽奖,A,733,AWD (全轮驱动),,6.8,5.7,5.8,5.7,5.9,5.8,1417,https://cdn.max-c.com/wiki/1551360/Thumbnail_1417_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1417_Big.png?v=1,3,S10 秋季 - 游乐场赛事；<br>S25 秋季 - 季节锦标赛（拉力赛）;<br>S37 春季 - 季节锦标赛
car_030,RS 4 Avant,奥迪 RS 4 Avant 2013,Audi RS 4 '13,,奥迪,2013,德国,超级轿车,"83,000",车展，抽奖,A,728,AWD (全轮驱动),,7,5.7,5.5,5.2,5.2,5.7,1607,https://cdn.max-c.com/wiki/1551360/Thumbnail_1607_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1607_Big.png?v=1,3,S15 夏季 - 季节锦标赛；<br>S31 夏季 - 季节锦标赛（风火轮）；<br>S37 夏季 - 季节锦标赛（拉力赛）
car_031,RS 7 Sportback,奥迪 RS 7 Sportback 2013,Audi RS 7,,奥迪,2013,德国,超级轿车,"225,000",车展，抽奖,A,739,AWD (全轮驱动),,7.6,5.3,7,8.2,5.6,5.7,2009,https://cdn.max-c.com/wiki/1551360/Thumbnail_2009_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2009_Big.png?v=1,4,S8 春季 - Super7；<br>S19 秋季 - Eventlab；<br>S29 秋季 - 季节锦标赛；<br>S37 春季 - 马拉松商店200FP
car_032,R8 Coupé V10 plus 5.2 FSI quattro,奥迪 R8 Coupé V10 plus 5.2 FSI quattro 2013,Audi R8 '13,,奥迪,2013,德国,现代超级跑车,"290,000",抽奖,S1,802,AWD (全轮驱动),,7.3,6.3,7.1,6.6,6.9,5.5,2010,https://cdn.max-c.com/wiki/1551360/Thumbnail_2010_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2010_Big.png?v=1,4,S1 春季 - 马拉松商店400FP；<br>S6 春季 - Eventlab；<br>S8 夏季 - 马拉松商店700FP；<br>S19 秋季 - 40分进度奖励
car_033,RS 6 Avant,奥迪 RS 6 Avant 2015,Audi RS 6 '15,,奥迪,2015,德国,超级轿车,"150,000",车展，抽奖，<br>赞赏：精通高手（解锁25个车辆熟练度）,A,754,AWD (全轮驱动),,7.4,5.5,7.5,8.3,5.3,5.6,2180,https://cdn.max-c.com/wiki/1551360/Thumbnail_2180_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2180_Big.png?v=1,3,S22 冬季 - 终极考验；<br>S37 秋季 - 终极考验；<br>S38 秋季 - 季节锦标赛（拉力赛）
car_034,TTS Coupé,奥迪 TTS Coupé 2015,Audi TTS,,奥迪,2015,德国,现代跑车,"52,000",车展，抽奖,A,724,AWD (全轮驱动),,6.7,5.6,5.8,6.4,4,5.8,2182,https://cdn.max-c.com/wiki/1551360/Thumbnail_2182_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2182_Big.png?v=1,2,S15 春季 - 终极考验；<br>S35 春季 - 季节锦标赛
car_035,S1,奥迪 S1 2015,Audi S1,,奥迪,2015,德国,高性能掀背车,"35,000",车展，抽奖,B,644,AWD (全轮驱动),,5.6,5.5,5.2,4.4,3.7,5.9,2179,https://cdn.max-c.com/wiki/1551360/Thumbnail_2179_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2179_Big.png?v=1,1,S31 秋季 - 季节锦标赛
car_036,R8 V10 plus,奥迪 R8 V10 plus 2016,Audi R8 V10 plus,,奥迪,2016,德国,现代超级跑车,"242,000",车展，抽奖,S1,834,AWD (全轮驱动),,7.8,6.4,7.8,7.4,7.3,5.6,2473,https://cdn.max-c.com/wiki/1551360/Thumbnail_2473_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2473_Big.png?v=1,5,S5 秋季 - 终极考验；<br>S8 春季 - 终极考验；<br>S15 春季 - 马拉松商店50FP；<br>S20 夏季 - 马拉松商店250FP；<br>S25 冬季 - 马拉松商店250FP
car_037,Sprite MkI,Austin-Healey Sprite MkI 1958,Sprite MkI,,Austin-Healey,1958,英国,经典跑车,"20,000",车展，抽奖,D,131,RWD (后轮驱动),,3.1,3.5,1.9,2.5,1.8,5.1,1574,https://cdn.max-c.com/wiki/1551360/Thumbnail_1574_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1574_Big.png?v=1,,
car_038,Type D,Auto Union Type D 1939,AutoUnion Type D,,Auto Union,1939,德国,古董赛车,"15,000,000",车展，抽奖，<br>赞赏：童话故事的结尾（在所有最终决赛中获胜或获得3星等）,B,675,RWD (后轮驱动),,8.4,3.6,4.5,3.4,2.7,4.7,2096,https://cdn.max-c.com/wiki/1551360/Thumbnail_2096_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2096_Big.png?v=1,1,S8 - 160分进度奖励
car_039,Mono,BAC Mono 2014,BAC Mono,,BAC,2014,英国,赛道玩具,"160,000",抽奖，<br>赞赏：流浪者（完成图伦探险）,S1,868,RWD (后轮驱动),,6.1,7.4,6.3,6.7,8.1,4.5,2040,https://cdn.max-c.com/wiki/1551360/Thumbnail_2040_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2040_Big.png?v=1,1,S28 第2周 - 马拉松商店350FP
car_040,Blower 4-1/2 Litre Supercharged,宾利 Blower 4-1/2 Litre Supercharged 1930,Bentley Blower,,宾利,1930,英国,古董赛车,"4,000,000",车展，抽奖,D,207,RWD (后轮驱动),,3.7,3.2,2.1,2.3,1.9,5.9,2976,https://cdn.max-c.com/wiki/1551360/Thumbnail_2976_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2976_Big.png?v=1,2,S11 冬季 - 马拉松商店150FP；<br>S28 第3周 - 马拉松商店700FP
car_041,8 Litre,宾利 8 Litre 1930,Bentley 8 Litre,,宾利,1930,英国,稀有经典赛车,"1,500,000",车展，抽奖,D,181,RWD (后轮驱动),,3.7,3.3,2.4,1.8,1.8,5.8,1372,https://cdn.max-c.com/wiki/1551360/Thumbnail_1372_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1372_Big.png?v=1,3,S7 春季 - 终极考验；<br>S11 夏季 - 马拉松商店100FP；<br>S31 夏季 - 马拉松商店550FP
car_042,Bentayga,宾利 Bentayga 2016,Bentley Bentayga,,宾利,2016,英国,运动型多功能英雄,"180,000",车展，抽奖,A,727,AWD (全轮驱动),,7,4.7,6.2,7.4,4,6.8,2625,https://cdn.max-c.com/wiki/1551360/Thumbnail_2625_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2625_Big.png?v=1,3,S12 秋季 - 季节锦标赛；<br>S21 秋季 - 终极考验；<br>S37 夏季 - 马拉松商店150FP
car_043,Continental Supersports,宾利 Continental Supersports 2017,Bentley Cont '17,,宾利,2017,英国,GT赛车,"200,000",车展，抽奖,A,769,AWD (全轮驱动),,7.6,5.4,8,9.1,5.8,5.4,2665,https://cdn.max-c.com/wiki/1551360/Thumbnail_2665_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2665_Big.png?v=1,3,S6 冬季 - 季节锦标赛；<br>S14 春季 - Super7；<br>S37 冬季 - 马拉松商店175FP
car_044,Isetta 300 Export,宝马 Isetta 300 Export 1957,BMW Isetta,,宝马,1957,德国,狂热跑车,"45,000",车展，抽奖,D,100,RWD (后轮驱动),,1.8,2.9,1.2,2.7,2.4,5.1,2412,https://cdn.max-c.com/wiki/1551360/Thumbnail_2412_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_2412_Big.png?v=1,2,S14 夏季 - 季节锦标赛（风火轮）；<br>S31 夏季 - Eventlab
car_045,M1,宝马 M1 1981,BMW M1,,宝马,1981,德国,复古超级跑车,"585,000",车展，抽奖,B,629,RWD (后轮驱动),,5.9,4.5,4.4,3.1,3.2,5.1,1040,https://cdn.max-c.com/wiki/1551360/Thumbnail_1040_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1040_Big.png?v=1,6,S6 冬季 - 马拉松商店300FP；<br>S11 秋季 - 马拉松商店200FP；<br>S20 春季 - 马拉松商店400FP；<br>S23 夏季 - Eventlab；<br>S34 冬季 - 终极考验；<br>S40 冬季 - 季节锦标赛
car_046,M5,宝马 M5 1988,BMW M5 '88,,宝马,1988,德国,复古轿车,"54,000",车展，抽奖,C,583,RWD (后轮驱动),,5.8,4.1,4.3,3.9,3.1,5.4,1368,https://cdn.max-c.com/wiki/1551360/Thumbnail_1368_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1368_Big.png?v=1,3,S11 秋季 - 季节锦标赛（风火轮）；<br>S19 春季 - 季节锦标赛（风火轮）；<br>S39 秋季 - Eventlab
car_047,M3,宝马 M3 1991,BMW M3 '91,,宝马,1991,德国,复古轿车,"70,000",车展，抽奖,C,583,RWD (后轮驱动),,5.6,4.2,4.3,3.4,3.1,5.2,642,https://cdn.max-c.com/wiki/1551360/Thumbnail_642_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_642_Big.png?v=1,3,S15 夏季 - 终极考验；<br>S31 夏季 - 季节锦标赛；<br>S39 冬季 - 游乐场赛事
car_048,M5,宝马 M5 1995,BMW M5 '95,,宝马,1995,德国,复古轿车,"25,000",车展，抽奖，<br>赞赏：等级“C”精英（登上任意等级C劲敌排行榜的前5%）,B,634,RWD (后轮驱动),,6.7,4.7,4.6,4.2,3.6,5.2,1418,https://cdn.max-c.com/wiki/1551360/Thumbnail_1418_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1418_Big.png?v=1,,
car_049,M3,宝马 M3 1997,BMW M3 '97,,宝马,1997,德国,复古轿车,"35,000",车展，抽奖,B,665,RWD (后轮驱动),,6.5,4.5,4.9,5.2,3.6,5.6,382,https://cdn.max-c.com/wiki/1551360/Thumbnail_382_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_382_Big.png?v=1,3,S12 夏季 - 季节锦标赛（风火轮）；<br>S22 春季 - 季节锦标赛；<br>S36 冬季 - 季节锦标赛
car_050,M3-GTR,宝马 M3-GTR 2002,BMW M3-GTR,,宝马,2002,德国,赛道玩具,"180,000",车展，抽奖,A,747,RWD (后轮驱动),,6.7,5.8,5.4,5.7,4.9,5.3,565,https://cdn.max-c.com/wiki/1551360/Thumbnail_565_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_565_Big.png?v=1,4,S8 秋季 - 季节锦标赛；<br>S18 冬季 - 季节锦标赛；<br>S28 第4周 - 季节锦标赛；<br>S40 春季 - 季节锦标赛（拉力赛）
car_051,Z3 M Coupe,宝马 Z3 M Coupe 2002,BMW Z3,,宝马,2002,德国,复古跑车,"30,000",车展，抽奖,B,675,RWD (后轮驱动),,6.1,4.8,4.9,5,3.7,5.2,1268,https://cdn.max-c.com/wiki/1551360/Thumbnail_1268_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1268_Big.png?v=1,1,S25 冬季 - 季节锦标赛（风火轮）
car_052,M5,宝马 M5 2003,BMW M5 '03,,宝马,2003,德国,复古轿车,"30,000",车展，抽奖,B,694,RWD (后轮驱动),,7.1,5,5,5.2,3.8,5.5,1367,https://cdn.max-c.com/wiki/1551360/Thumbnail_1367_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1367_Big.png?v=1,1,S25 冬季 - Eventlab
car_053,M3,宝马 M3 2005,BMW M3 '05,,宝马,2005,德国,复古轿车,"33,000",车展，抽奖,B,675,RWD (后轮驱动),,6.4,4.7,5,5,3.8,5.5,383,https://cdn.max-c.com/wiki/1551360/Thumbnail_383_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_383_Big.png?v=1,1,S31 春季 - Eventlab
car_054,M3,宝马 M3 2008,BMW M3 '08,,宝马,2008,德国,超级轿车,"48,000",车展，抽奖,A,725,RWD (后轮驱动),,6.8,5.3,5,5.3,4.5,5,1011,https://cdn.max-c.com/wiki/1551360/Thumbnail_1011_Small.png?v=1,https://cdn.max-c.com/wiki/1551360/Thumbnail_1011_Big.png?v=1,3,S7 夏季 - 季节锦标赛；<br>S22 冬季 - 季节锦标赛；<br>S32 冬季 - 季节锦标赛
